
k1 = 0.308 k2 = 1k3 = 1 Left(4)- mean: 51.27411744008036 standard deviation: 7.76627330598428 Right(17)- mean: 54.56104626393522 standard deviation: 6.075792153156988 quality = 7.575364560726522e-06
k1 = 0.662 k2 = 0.538 k3 = -0.306 Left(4)- mean: 48.896333638683856 standard deviation: 7.894090974625158 Right(17)- mean: 54.045669458943614 standard deviation: 6.648225142250013 quality = 0.0
k1 = -0.3 k2 = 0.434 k3 = 0.308 Left(4)- mean: 39.3998461317016 standard deviation: 4.809850587099172 Right(17)- mean: 35.78999203687026 standard deviation: 7.059482993974073 quality = 0.0
k1 = 0.554 k2 = 0.488 k3 = 0.51 Left(4)- mean: 49.04312673581238 standard deviation: 7.83277767422102 Right(17)- mean: 54.18420060758517 standard deviation: 6.659497800629674 quality = 0.0
k1 = -0.616 k2 = 0.49 k3 = -0.754 Left(4)- mean: 39.36390898704208 standard deviation: 4.791349210128535 Right(17)- mean: 35.803280582297134 standard deviation: 6.867939494638105 quality = 0.0
k1 = -0.012 k2 = -0.844 k3 = -0.558 Left(4)- mean: 41.10055699999617 standard deviation: 7.101439782019478 Right(17)- mean: 44.33422667379936 standard deviation: 10.693817470825755 quality = 0.0
k1 = -0.136 k2 = 0.164 k3 = -0.4 Left(4)- mean: 39.315629730112434 standard deviation: 4.823982867572864 Right(17)- mean: 46.29519899093012 standard deviation: 4.920363598454753 quality = 0.0
k1 = -0.064 k2 = 0.458 k3 = -0.908 Left(4)- mean: 39.06246936719586 standard deviation: 5.616648590460839 Right(17)- mean: 45.289561334731836 standard deviation: 5.79194565584037 quality = 0.0
k1 = -0.196 k2 = -0.976 k3 = -0.636 Left(4)- mean: 37.82640937296253 standard deviation: 4.912504955004321 Right(17)- mean: 45.970838434236455 standard deviation: 4.843927282067587 quality = 0.0
k1 = -0.096 k2 = -0.764 k3 = -0.17 Left(4)- mean: 37.081864983069174 standard deviation: 5.009537995956814 Right(17)- mean: 50.50802454602931 standard deviation: 5.829624949478081 quality = 0.0
k1 = 0.612 k2 = -0.43 k3 = 0.126 Left(4)- mean: 49.38913087687004 standard deviation: 7.499658428776997 Right(17)- mean: 54.988804189197346 standard deviation: 5.842098893822891 quality = 0.0
k1 = -0.27 k2 = -0.594 k3 = -0.08 Left(4)- mean: 37.90037717350914 standard deviation: 5.312076199722076 Right(17)- mean: 36.42581094317685 standard deviation: 5.516849757795747 quality = 0.0
k1 = 0.836 k2 = -0.058 k3 = 0.04 Left(4)- mean: 48.760509475871665 standard deviation: 7.4879336703215795 Right(17)- mean: 54.92046011040159 standard deviation: 5.657393565848682 quality = 0.0
k1 = -0.66 k2 = 0.554 k3 = 0.062 Left(4)- mean: 35.976618438513945 standard deviation: 4.9430456933238345 Right(17)- mean: 35.07671239852191 standard deviation: 7.089730086186195 quality = 0.0
k1 = -0.174 k2 = 0.678 k3 = -0.964 Left(4)- mean: 37.46752378224632 standard deviation: 5.331683159291792 Right(17)- mean: 33.320031422696914 standard deviation: 6.386712845361927 quality = 0.0
k1 = 0.678 k2 = 0.05 k3 = 0.388 Left(4)- mean: 50.31861238653199 standard deviation: 7.983188893691521 Right(17)- mean: 54.819793933440195 standard deviation: 5.705772151511279 quality = 0.0
